#KPL:P: shantell-UC_UC_punc
Tbar O
O Germandbls
Germandbls O
P P
P Q
Q P
P R
R P
P S
S P
P T
T P
P U
U P
P V
V P
P W
W P
P X
X P
P Y
Y P
P Z
Z P
P Oslash
Oslash P
P Thorn
Thorn P
P Dcroat
P IJ
P Lslash
Lslash P
Eng P
P Tbar
Tbar P
P Germandbls
Germandbls P
Q Q
Q R
R Q
Q S
S Q
Q T
T Q
Q U
U Q
Q V
V Q
Q W
W Q
Q X
X Q
Q Y
Y Q
Q Z
Z Q
Q Oslash
Oslash Q
Q Thorn
Thorn Q
Q Dcroat
Q IJ
Q Lslash
Lslash Q
Eng Q
Q Tbar
Tbar Q
Q Germandbls
Germandbls Q
R R
R S
S R
R T
T R
R U
U R
R V
V R
R W
W R
R X
X R
R Y
Y R
R Z
Z R
R Oslash
Oslash R
R Thorn
Thorn R
R Dcroat
R IJ
R Lslash
Lslash R
Eng R
R Tbar
Tbar R
R Germandbls
Germandbls R
S S
S T
T S
S U
U S
S V
V S
S W
W S
S X
X S
S Y
Y S
S Z
Z S
S Oslash
Oslash S
S Thorn
Thorn S
S Dcroat
S IJ
S Lslash
Lslash S
Eng S
S Tbar
Tbar S
S Germandbls
Germandbls S
T T
T U
U T
T V
V T
T W
W T
T X
X T
T Y
Y T
T Z
Z T
T Oslash
Oslash T
T Thorn
Thorn T
T Dcroat
T IJ
T Lslash
Lslash T
Eng T
T Tbar
Tbar T
T Germandbls
Germandbls T
U U
U V
V U
U W
W U
U X
X U
U Y
Y U
U Z
Z U
U Oslash
Oslash U
U Thorn
Thorn U
U Dcroat
U IJ
U Lslash
Lslash U
Eng U
U Tbar
Tbar U
U Germandbls
Germandbls U
V V
V W
W V
V X
X V
V Y
Y V
V Z
Z V
V Oslash
Oslash V
V Thorn
Thorn V
V Dcroat
V IJ
V Lslash
Lslash V
Eng V
V Tbar
Tbar V
V Germandbls
Germandbls V
W W
W X
X W
W Y
Y W
W Z
Z W
W Oslash
Oslash W
W Thorn
Thorn W
W Dcroat
W IJ
W Lslash
Lslash W
Eng W
W Tbar
Tbar W
W Germandbls
Germandbls W
X X
X Y
Y X
X Z
Z X
X Oslash
Oslash X
X Thorn
Thorn X
X Dcroat
X IJ
X Lslash
Lslash X
Eng X
X Tbar
Tbar X
X Germandbls
Germandbls X
Y Y
Y Z
Z Y
Y Oslash
Oslash Y
Y Thorn
Thorn Y
Y Dcroat
Y IJ
Y Lslash
Lslash Y
Eng Y
Y Tbar
Tbar Y
Y Germandbls
Germandbls Y
Z Z
Z Oslash
Oslash Z
Z Thorn
Thorn Z
Z Dcroat
Z IJ
Z Lslash
Lslash Z
Eng Z
Z Tbar
Tbar Z
Z Germandbls
Germandbls Z
Oslash Oslash
Oslash Thorn
Thorn Oslash
Oslash Dcroat
Oslash IJ
Oslash Lslash
Lslash Oslash
Eng Oslash
Oslash Tbar
Tbar Oslash
Oslash Germandbls
Germandbls Oslash
Thorn Thorn
Thorn Dcroat
