#KPL:P: shantell-UC_UC_punc
N hyphen.case
hyphen.case N
N endash.case
endash.case N
N emdash.case
emdash.case N
N parenleft.case
parenleft.case N
N parenright.case
parenright.case N
N bracketleft.case
bracketleft.case N
N bracketright.case
bracketright.case N
N braceleft.case
braceleft.case N
N braceright.case
braceright.case N
N bracketangleleft.case
bracketangleleft.case N
N bracketangleright.case
bracketangleright.case N
N guilsinglleft.case
guilsinglleft.case N
N guilsinglright.case
guilsinglright.case N
N guillemetleft.case
guillemetleft.case N
N guillemetright.case
guillemetright.case N
N slash.case
slash.case N
N backslash.case
backslash.case N
O hyphen
hyphen O
O gnrl:hyphen
gnrl:hyphen O
O uni2010
uni2010 O
O endash
endash O
O emdash
emdash O
O parenleft
parenleft O
O parenright
parenright O
O bracketleft
bracketleft O
O bracketright
bracketright O
O braceleft
braceleft O
O braceright
braceright O
O quotesingle
quotesingle O
O quotedbl
quotedbl O
O quoteleft
quoteleft O
O quoteright
quoteright O
O quotedblleft
quotedblleft O
O quotedblright
quotedblright O
O quotesinglbase
quotesinglbase O
O quotedblbase
quotedblbase O
O guilsinglleft
guilsinglright O
O guillemetleft
guillemetleft O
O guillemetright
guillemetright O
O asterisk
asterisk O
O question
question O
O slash
slash O
O backslash
backslash O
O hyphen.case
hyphen.case O
O endash.case
endash.case O
O emdash.case
emdash.case O
O parenleft.case
parenleft.case O
O parenright.case
parenright.case O
O bracketleft.case
bracketleft.case O
O bracketright.case
bracketright.case O
O braceleft.case
braceleft.case O
O braceright.case
braceright.case O
O bracketangleleft.case
bracketangleleft.case O
O bracketangleright.case
bracketangleright.case O
O guilsinglleft.case
guilsinglleft.case O
O guilsinglright.case
guilsinglright.case O
O guillemetleft.case
guillemetleft.case O
O guillemetright.case
guillemetright.case O
O slash.case
slash.case O
O backslash.case
backslash.case O
P hyphen
hyphen P
P gnrl:hyphen
gnrl:hyphen P
P uni2010
uni2010 P
P endash
endash P
P emdash
emdash P
P parenleft
parenleft P
P parenright
parenright P
P bracketleft
bracketleft P
P bracketright
bracketright P
P braceleft
braceleft P
P braceright
braceright P
P quotesingle
quotesingle P
P quotedbl
quotedbl P
P quoteleft
quoteleft P
P quoteright
quoteright P
P quotedblleft
quotedblleft P
P quotedblright
quotedblright P
P quotesinglbase
quotesinglbase P
P quotedblbase
quotedblbase P
P guilsinglleft
guilsinglright P
P guillemetleft
guillemetleft P
P guillemetright
guillemetright P
P asterisk
asterisk P
P question
question P
P slash
slash P
P backslash
backslash P
P hyphen.case
hyphen.case P
P endash.case
endash.case P
P emdash.case
emdash.case P
P parenleft.case
parenleft.case P
P parenright.case
parenright.case P
P bracketleft.case
bracketleft.case P
P bracketright.case
bracketright.case P
P braceleft.case
braceleft.case P
P braceright.case
braceright.case P
P bracketangleleft.case
bracketangleleft.case P
P bracketangleright.case
bracketangleright.case P
P guilsinglleft.case
guilsinglleft.case P
P guilsinglright.case
guilsinglright.case P
P guillemetleft.case
guillemetleft.case P
P guillemetright.case
guillemetright.case P
P slash.case
slash.case P
P backslash.case
backslash.case P
Q hyphen
hyphen Q
Q gnrl:hyphen
gnrl:hyphen Q
Q uni2010
uni2010 Q
Q endash
endash Q
Q emdash
emdash Q
Q parenleft
parenleft Q
Q parenright
parenright Q
Q bracketleft
bracketleft Q
Q bracketright
bracketright Q
Q braceleft
braceleft Q
Q braceright
braceright Q
Q quotesingle
quotesingle Q
Q quotedbl
quotedbl Q
Q quoteleft
quoteleft Q
Q quoteright
quoteright Q
Q quotedblleft
quotedblleft Q
Q quotedblright
quotedblright Q
Q quotesinglbase
quotesinglbase Q
Q quotedblbase
quotedblbase Q
Q guilsinglleft
guilsinglright Q
Q guillemetleft
guillemetleft Q
Q guillemetright
guillemetright Q
Q asterisk
asterisk Q
Q question
question Q
Q slash
slash Q
Q backslash
backslash Q
Q hyphen.case
hyphen.case Q
Q endash.case
endash.case Q
Q emdash.case
emdash.case Q
Q parenleft.case
parenleft.case Q
Q parenright.case
parenright.case Q
Q bracketleft.case
bracketleft.case Q
Q bracketright.case
bracketright.case Q
Q braceleft.case
braceleft.case Q
Q braceright.case
braceright.case Q
Q bracketangleleft.case
bracketangleleft.case Q
Q bracketangleright.case
bracketangleright.case Q
Q guilsinglleft.case
guilsinglleft.case Q
Q guilsinglright.case
guilsinglright.case Q
Q guillemetleft.case
guillemetleft.case Q
Q guillemetright.case
guillemetright.case Q
Q slash.case
slash.case Q
Q backslash.case
backslash.case Q
R hyphen
hyphen R
R gnrl:hyphen
gnrl:hyphen R
R uni2010
uni2010 R
R endash
endash R
R emdash
emdash R
R parenleft
parenleft R
R parenright
parenright R
R bracketleft
bracketleft R
R bracketright
bracketright R
R braceleft
braceleft R
R braceright
braceright R
R quotesingle
quotesingle R
R quotedbl
quotedbl R
R quoteleft
quoteleft R
R quoteright
quoteright R
R quotedblleft
quotedblleft R
R quotedblright
quotedblright R
R quotesinglbase
quotesinglbase R
R quotedblbase
quotedblbase R
R guilsinglleft
guilsinglright R
R guillemetleft
guillemetleft R
R guillemetright
guillemetright R
R asterisk
asterisk R
R question
question R
R slash
slash R
R backslash
backslash R
R hyphen.case
hyphen.case R
R endash.case
endash.case R
R emdash.case
emdash.case R
R parenleft.case
parenleft.case R
R parenright.case
parenright.case R
R bracketleft.case
bracketleft.case R
R bracketright.case
bracketright.case R
R braceleft.case
braceleft.case R
R braceright.case
braceright.case R
R bracketangleleft.case
bracketangleleft.case R
R bracketangleright.case
bracketangleright.case R
R guilsinglleft.case
guilsinglleft.case R
R guilsinglright.case
guilsinglright.case R
R guillemetleft.case
guillemetleft.case R
R guillemetright.case
guillemetright.case R
R slash.case
slash.case R
R backslash.case
backslash.case R
S hyphen
hyphen S
S gnrl:hyphen
gnrl:hyphen S
S uni2010
uni2010 S
S endash
endash S
S emdash
emdash S
S parenleft
parenleft S
S parenright
parenright S
S bracketleft
bracketleft S
S bracketright
bracketright S
S braceleft
braceleft S
S braceright
braceright S
S quotesingle
quotesingle S
S quotedbl
quotedbl S
S quoteleft
quoteleft S
S quoteright
quoteright S
S quotedblleft
quotedblleft S
S quotedblright
quotedblright S
S quotesinglbase
quotesinglbase S
S quotedblbase
quotedblbase S
S guilsinglleft
guilsinglright S
S guillemetleft
guillemetleft S
S guillemetright
guillemetright S
S asterisk
asterisk S
S question
question S
S slash
slash S
S backslash
backslash S
S hyphen.case
hyphen.case S
S endash.case
endash.case S
S emdash.case
emdash.case S
S parenleft.case
parenleft.case S
S parenright.case
parenright.case S
S bracketleft.case
bracketleft.case S
S bracketright.case
bracketright.case S
S braceleft.case
braceleft.case S
S braceright.case
braceright.case S
S bracketangleleft.case
bracketangleleft.case S
S bracketangleright.case
bracketangleright.case S
S guilsinglleft.case
guilsinglleft.case S
S guilsinglright.case
guilsinglright.case S
S guillemetleft.case
guillemetleft.case S
S guillemetright.case
guillemetright.case S
S slash.case
slash.case S
S backslash.case
backslash.case S
T hyphen
hyphen T
T gnrl:hyphen
gnrl:hyphen T
T uni2010
uni2010 T
T endash
endash T
T emdash
emdash T
T parenleft
parenleft T
T parenright
parenright T
T bracketleft
bracketleft T
T bracketright
bracketright T
T braceleft
braceleft T
T braceright
braceright T
T quotesingle
quotesingle T
T quotedbl
quotedbl T
T quoteleft
quoteleft T
T quoteright
quoteright T
T quotedblleft
quotedblleft T
T quotedblright
quotedblright T
T quotesinglbase
quotesinglbase T
T quotedblbase
quotedblbase T
T guilsinglleft
guilsinglright T
T guillemetleft
guillemetleft T
T guillemetright
guillemetright T
T asterisk
asterisk T
T question
question T
T slash
slash T
T backslash
backslash T
T hyphen.case
hyphen.case T
T endash.case
endash.case T
T emdash.case
emdash.case T
T parenleft.case
parenleft.case T
T parenright.case
parenright.case T
T bracketleft.case
bracketleft.case T
T bracketright.case
bracketright.case T
T braceleft.case
braceleft.case T
T braceright.case
braceright.case T
T bracketangleleft.case
bracketangleleft.case T
T bracketangleright.case
bracketangleright.case T
T guilsinglleft.case
guilsinglleft.case T
T guilsinglright.case
guilsinglright.case T
T guillemetleft.case
guillemetleft.case T
T guillemetright.case
guillemetright.case T
T slash.case
slash.case T
T backslash.case
backslash.case T
U hyphen
hyphen U
U gnrl:hyphen
gnrl:hyphen U
U uni2010
uni2010 U
U endash
endash U
U emdash
emdash U
U parenleft
parenleft U
U parenright
parenright U
U bracketleft
bracketleft U
U bracketright
bracketright U
U braceleft
braceleft U
U braceright
braceright U
U quotesingle
quotesingle U
U quotedbl
quotedbl U
U quoteleft
quoteleft U
U quoteright
quoteright U
U quotedblleft
quotedblleft U
U quotedblright
quotedblright U
U quotesinglbase
quotesinglbase U
U quotedblbase
quotedblbase U
U guilsinglleft
guilsinglright U
U guillemetleft
guillemetleft U
U guillemetright
guillemetright U
U asterisk
asterisk U
U question
question U
U slash
slash U
U backslash
backslash U
U hyphen.case
hyphen.case U
U endash.case
endash.case U
U emdash.case
emdash.case U
U parenleft.case
parenleft.case U
U parenright.case
parenright.case U
U bracketleft.case
bracketleft.case U
U bracketright.case
bracketright.case U
U braceleft.case
braceleft.case U
U braceright.case
braceright.case U
U bracketangleleft.case
bracketangleleft.case U
U bracketangleright.case
bracketangleright.case U
U guilsinglleft.case
guilsinglleft.case U
U guilsinglright.case
guilsinglright.case U
U guillemetleft.case
guillemetleft.case U
U guillemetright.case
guillemetright.case U
U slash.case
slash.case U
U backslash.case
backslash.case U
V hyphen
hyphen V
V gnrl:hyphen
gnrl:hyphen V
V uni2010
uni2010 V
V endash
endash V
V emdash
emdash V
V parenleft
parenleft V
V parenright
parenright V
V bracketleft
bracketleft V
V bracketright
bracketright V
V braceleft
braceleft V
V braceright
braceright V
V quotesingle
quotesingle V
V quotedbl
quotedbl V
V quoteleft
quoteleft V
V quoteright
quoteright V
V quotedblleft
quotedblleft V
V quotedblright
quotedblright V
V quotesinglbase
quotesinglbase V
V quotedblbase
quotedblbase V
V guilsinglleft
guilsinglright V
V guillemetleft
guillemetleft V
V guillemetright
guillemetright V
V asterisk
asterisk V
V question
question V
V slash
slash V
V backslash
backslash V
V hyphen.case
hyphen.case V
V endash.case
endash.case V
V emdash.case
emdash.case V
V parenleft.case
parenleft.case V
V parenright.case
parenright.case V
V bracketleft.case
bracketleft.case V
V bracketright.case
bracketright.case V
V braceleft.case
braceleft.case V
V braceright.case
braceright.case V
V bracketangleleft.case
bracketangleleft.case V
V bracketangleright.case
bracketangleright.case V
V guilsinglleft.case
guilsinglleft.case V
V guilsinglright.case
guilsinglright.case V
V guillemetleft.case
guillemetleft.case V
V guillemetright.case
guillemetright.case V
V slash.case
slash.case V
V backslash.case
backslash.case V
W hyphen
hyphen W
W gnrl:hyphen
gnrl:hyphen W
W uni2010
uni2010 W
W endash
endash W
W emdash
emdash W
W parenleft
parenleft W
W parenright
parenright W
W bracketleft
bracketleft W
W bracketright
bracketright W
W braceleft
braceleft W
W braceright
braceright W
W quotesingle
quotesingle W
W quotedbl
quotedbl W
W quoteleft
quoteleft W
W quoteright
quoteright W
W quotedblleft
quotedblleft W
W quotedblright
quotedblright W
W quotesinglbase
quotesinglbase W
W quotedblbase
quotedblbase W
W guilsinglleft
guilsinglright W
W guillemetleft
guillemetleft W
W guillemetright
guillemetright W
W asterisk
asterisk W
W question
question W
W slash
slash W
W backslash
backslash W
W hyphen.case
hyphen.case W
W endash.case
endash.case W
W emdash.case
emdash.case W
W parenleft.case
parenleft.case W
W parenright.case
parenright.case W
W bracketleft.case
bracketleft.case W
W bracketright.case
bracketright.case W
W braceleft.case
braceleft.case W
W braceright.case
braceright.case W
W bracketangleleft.case
bracketangleleft.case W
W bracketangleright.case
bracketangleright.case W
W guilsinglleft.case
guilsinglleft.case W
W guilsinglright.case
guilsinglright.case W
W guillemetleft.case
guillemetleft.case W
W guillemetright.case
guillemetright.case W
W slash.case
slash.case W
W backslash.case
backslash.case W
X hyphen
hyphen X
X gnrl:hyphen
gnrl:hyphen X
X uni2010
uni2010 X
X endash
endash X
X emdash
emdash X
X parenleft
parenleft X
X parenright
parenright X
X bracketleft
bracketleft X
X bracketright
bracketright X
X braceleft
braceleft X
X braceright
braceright X
X quotesingle
quotesingle X
X quotedbl
quotedbl X
X quoteleft
quoteleft X
X quoteright
quoteright X
X quotedblleft
quotedblleft X
X quotedblright
quotedblright X
X quotesinglbase
quotesinglbase X
X quotedblbase
quotedblbase X
X guilsinglleft
guilsinglright X
X guillemetleft
guillemetleft X
X guillemetright
guillemetright X
X asterisk
asterisk X
X question
question X
X slash
slash X
X backslash
backslash X
X hyphen.case
hyphen.case X
X endash.case
endash.case X
X emdash.case
emdash.case X
X parenleft.case
parenleft.case X
X parenright.case
parenright.case X
X bracketleft.case
bracketleft.case X
X bracketright.case
bracketright.case X
X braceleft.case
braceleft.case X
X braceright.case
braceright.case X
X bracketangleleft.case
bracketangleleft.case X
X bracketangleright.case
bracketangleright.case X
X guilsinglleft.case
guilsinglleft.case X
X guilsinglright.case
guilsinglright.case X
X guillemetleft.case
guillemetleft.case X
X guillemetright.case
guillemetright.case X
X slash.case
slash.case X
X backslash.case
backslash.case X
Y hyphen
hyphen Y
Y gnrl:hyphen
gnrl:hyphen Y
Y uni2010
uni2010 Y
Y endash
endash Y
Y emdash
emdash Y
Y parenleft
parenleft Y
Y parenright
parenright Y
Y bracketleft
bracketleft Y
Y bracketright
bracketright Y
Y braceleft
braceleft Y
Y braceright
braceright Y
Y quotesingle
quotesingle Y
Y quotedbl
quotedbl Y
Y quoteleft
quoteleft Y
Y quoteright
quoteright Y
Y quotedblleft
quotedblleft Y
Y quotedblright
quotedblright Y
Y quotesinglbase
quotesinglbase Y
Y quotedblbase
quotedblbase Y
Y guilsinglleft
guilsinglright Y
Y guillemetleft
guillemetleft Y
Y guillemetright
guillemetright Y
Y asterisk
asterisk Y
Y question
question Y
Y slash
slash Y
Y backslash
backslash Y
Y hyphen.case
hyphen.case Y
Y endash.case
endash.case Y
Y emdash.case
emdash.case Y
Y parenleft.case
parenleft.case Y
Y parenright.case
parenright.case Y
Y bracketleft.case
bracketleft.case Y
Y bracketright.case
bracketright.case Y
Y braceleft.case
braceleft.case Y
Y braceright.case
braceright.case Y
Y bracketangleleft.case
bracketangleleft.case Y
Y bracketangleright.case
bracketangleright.case Y
Y guilsinglleft.case
guilsinglleft.case Y
Y guilsinglright.case
guilsinglright.case Y
Y guillemetleft.case
guillemetleft.case Y
Y guillemetright.case
guillemetright.case Y
Y slash.case
slash.case Y
Y backslash.case
backslash.case Y
Z hyphen
hyphen Z
Z gnrl:hyphen
gnrl:hyphen Z
Z uni2010
uni2010 Z
Z endash
endash Z
Z emdash
emdash Z
Z parenleft
parenleft Z
Z parenright
parenright Z
Z bracketleft
bracketleft Z
Z bracketright
bracketright Z
Z braceleft
braceleft Z
Z braceright
braceright Z
Z quotesingle
quotesingle Z
Z quotedbl
quotedbl Z
Z quoteleft
quoteleft Z
Z quoteright
quoteright Z
Z quotedblleft
quotedblleft Z
Z quotedblright
quotedblright Z
Z quotesinglbase
quotesinglbase Z
Z quotedblbase
quotedblbase Z
Z guilsinglleft
guilsinglright Z
Z guillemetleft
guillemetleft Z
Z guillemetright
guillemetright Z
Z asterisk
asterisk Z
Z question
question Z
Z slash
slash Z
Z backslash
backslash Z
Z hyphen.case
hyphen.case Z
Z endash.case
endash.case Z
Z emdash.case
emdash.case Z
Z parenleft.case
parenleft.case Z
Z parenright.case
parenright.case Z
Z bracketleft.case
bracketleft.case Z
Z bracketright.case
bracketright.case Z
Z braceleft.case
braceleft.case Z
Z braceright.case
braceright.case Z
Z bracketangleleft.case
bracketangleleft.case Z
Z bracketangleright.case
bracketangleright.case Z
Z guilsinglleft.case
guilsinglleft.case Z
Z guilsinglright.case
guilsinglright.case Z
Z guillemetleft.case
guillemetleft.case Z
Z guillemetright.case
guillemetright.case Z
Z slash.case
slash.case Z
Z backslash.case
backslash.case Z
Oslash hyphen
hyphen Oslash
Oslash gnrl:hyphen
gnrl:hyphen Oslash
Oslash uni2010
uni2010 Oslash
Oslash endash
endash Oslash
Oslash emdash
emdash Oslash
Oslash parenleft
parenleft Oslash
Oslash parenright
parenright Oslash
Oslash bracketleft
bracketleft Oslash
Oslash bracketright
bracketright Oslash
Oslash braceleft
braceleft Oslash
Oslash braceright
braceright Oslash
Oslash quotesingle
quotesingle Oslash
Oslash quotedbl
quotedbl Oslash
Oslash quoteleft
quoteleft Oslash
Oslash quoteright
quoteright Oslash
Oslash quotedblleft
quotedblleft Oslash
Oslash quotedblright
quotedblright Oslash
Oslash quotesinglbase
quotesinglbase Oslash
Oslash quotedblbase
quotedblbase Oslash
Oslash guilsinglleft
guilsinglright Oslash
Oslash guillemetleft
guillemetleft Oslash
Oslash guillemetright
guillemetright Oslash
Oslash asterisk
asterisk Oslash
Oslash question
question Oslash
Oslash slash
slash Oslash
Oslash backslash
backslash Oslash
Oslash hyphen.case
hyphen.case Oslash
Oslash endash.case
endash.case Oslash
Oslash emdash.case
emdash.case Oslash
Oslash parenleft.case
parenleft.case Oslash
Oslash parenright.case
parenright.case Oslash
Oslash bracketleft.case
bracketleft.case Oslash
Oslash bracketright.case
bracketright.case Oslash
Oslash braceleft.case
braceleft.case Oslash
Oslash braceright.case
braceright.case Oslash
Oslash bracketangleleft.case
bracketangleleft.case Oslash
Oslash bracketangleright.case
bracketangleright.case Oslash
Oslash guilsinglleft.case
guilsinglleft.case Oslash
Oslash guilsinglright.case
guilsinglright.case Oslash
Oslash guillemetleft.case
guillemetleft.case Oslash
Oslash guillemetright.case
guillemetright.case Oslash
Oslash slash.case
slash.case Oslash
Oslash backslash.case
backslash.case Oslash
Thorn hyphen
hyphen Thorn
Thorn gnrl:hyphen
gnrl:hyphen Thorn
Thorn uni2010
uni2010 Thorn
Thorn endash
endash Thorn
Thorn emdash
emdash Thorn
Thorn parenleft
parenleft Thorn
Thorn parenright
parenright Thorn
Thorn bracketleft
bracketleft Thorn
Thorn bracketright
bracketright Thorn
Thorn braceleft
braceleft Thorn
Thorn braceright
braceright Thorn
Thorn quotesingle
quotesingle Thorn
Thorn quotedbl
quotedbl Thorn
Thorn quoteleft
quoteleft Thorn
Thorn quoteright
quoteright Thorn
Thorn quotedblleft
quotedblleft Thorn
Thorn quotedblright
quotedblright Thorn
Thorn quotesinglbase
quotesinglbase Thorn
Thorn quotedblbase
quotedblbase Thorn
Thorn guilsinglleft
guilsinglright Thorn
Thorn guillemetleft
guillemetleft Thorn
Thorn guillemetright
guillemetright Thorn
Thorn asterisk
asterisk Thorn
Thorn question
question Thorn
Thorn slash
slash Thorn
Thorn backslash
backslash Thorn
Thorn hyphen.case
hyphen.case Thorn
Thorn endash.case
endash.case Thorn
Thorn emdash.case
emdash.case Thorn
Thorn parenleft.case
parenleft.case Thorn
Thorn parenright.case
parenright.case Thorn
Thorn bracketleft.case
bracketleft.case Thorn
Thorn bracketright.case
bracketright.case Thorn
Thorn braceleft.case
braceleft.case Thorn
Thorn braceright.case
braceright.case Thorn
Thorn bracketangleleft.case
bracketangleleft.case Thorn
Thorn bracketangleright.case
bracketangleright.case Thorn
Thorn guilsinglleft.case
guilsinglleft.case Thorn
Thorn guilsinglright.case
guilsinglright.case Thorn
Thorn guillemetleft.case
guillemetleft.case Thorn
Thorn guillemetright.case
guillemetright.case Thorn
Thorn slash.case
slash.case Thorn
Thorn backslash.case
backslash.case Thorn
hyphen Dcroat
gnrl:hyphen Dcroat
uni2010 Dcroat
endash Dcroat
emdash Dcroat
parenleft Dcroat
parenright Dcroat
bracketleft Dcroat
bracketright Dcroat
braceleft Dcroat
braceright Dcroat
quotesingle Dcroat
quotedbl Dcroat
quoteleft Dcroat
quoteright Dcroat
quotedblleft Dcroat
quotedblright Dcroat
quotesinglbase Dcroat
quotedblbase Dcroat
guilsinglright Dcroat
guillemetleft Dcroat
guillemetright Dcroat
asterisk Dcroat
question Dcroat
slash Dcroat
backslash Dcroat
hyphen.case Dcroat
endash.case Dcroat
emdash.case Dcroat
parenleft.case Dcroat
parenright.case Dcroat
bracketleft.case Dcroat
bracketright.case Dcroat
braceleft.case Dcroat
braceright.case Dcroat
bracketangleleft.case Dcroat
bracketangleright.case Dcroat
guilsinglleft.case Dcroat
guilsinglright.case Dcroat
guillemetleft.case Dcroat
guillemetright.case Dcroat
slash.case Dcroat
backslash.case Dcroat
hyphen IJ
gnrl:hyphen IJ
uni2010 IJ
endash IJ
emdash IJ
parenleft IJ
parenright IJ
bracketleft IJ
bracketright IJ
braceleft IJ
braceright IJ
quotesingle IJ
quotedbl IJ
quoteleft IJ
quoteright IJ
quotedblleft IJ
quotedblright IJ
quotesinglbase IJ
quotedblbase IJ
guilsinglright IJ
guillemetleft IJ
guillemetright IJ
asterisk IJ
question IJ
slash IJ
backslash IJ
hyphen.case IJ
endash.case IJ
emdash.case IJ
parenleft.case IJ
parenright.case IJ
bracketleft.case IJ
bracketright.case IJ
braceleft.case IJ
braceright.case IJ
bracketangleleft.case IJ
bracketangleright.case IJ
guilsinglleft.case IJ
guilsinglright.case IJ
guillemetleft.case IJ
guillemetright.case IJ
slash.case IJ
backslash.case IJ
Lslash hyphen
hyphen Lslash
Lslash gnrl:hyphen
gnrl:hyphen Lslash
Lslash uni2010
uni2010 Lslash
Lslash endash
endash Lslash
Lslash emdash
emdash Lslash
Lslash parenleft
parenleft Lslash
Lslash parenright
parenright Lslash
Lslash bracketleft
bracketleft Lslash
Lslash bracketright
bracketright Lslash
Lslash braceleft
braceleft Lslash
Lslash braceright
braceright Lslash
Lslash quotesingle
quotesingle Lslash
Lslash quotedbl
quotedbl Lslash
Lslash quoteleft
quoteleft Lslash
Lslash quoteright
quoteright Lslash
Lslash quotedblleft
quotedblleft Lslash
Lslash quotedblright
quotedblright Lslash
Lslash quotesinglbase
quotesinglbase Lslash
Lslash quotedblbase
quotedblbase Lslash
Lslash guilsinglleft
guilsinglright Lslash
Lslash guillemetleft
guillemetleft Lslash
Lslash guillemetright
guillemetright Lslash
Lslash asterisk
asterisk Lslash
Lslash question
question Lslash
Lslash slash
slash Lslash
Lslash backslash
backslash Lslash
Lslash hyphen.case
hyphen.case Lslash
Lslash endash.case
endash.case Lslash
Lslash emdash.case
emdash.case Lslash
Lslash parenleft.case
parenleft.case Lslash
Lslash parenright.case
parenright.case Lslash
Lslash bracketleft.case
bracketleft.case Lslash
Lslash bracketright.case
bracketright.case Lslash
Lslash braceleft.case
braceleft.case Lslash
Lslash braceright.case
braceright.case Lslash
Lslash bracketangleleft.case
bracketangleleft.case Lslash
Lslash bracketangleright.case
bracketangleright.case Lslash
Lslash guilsinglleft.case
guilsinglleft.case Lslash
Lslash guilsinglright.case
guilsinglright.case Lslash
Lslash guillemetleft.case
guillemetleft.case Lslash
Lslash guillemetright.case
guillemetright.case Lslash
Lslash slash.case
slash.case Lslash
Lslash backslash.case
backslash.case Lslash
Eng hyphen
Eng gnrl:hyphen
Eng uni2010
Eng endash
Eng emdash
Eng parenleft
Eng parenright
Eng bracketleft
Eng bracketright
Eng braceleft
Eng braceright
Eng quotesingle
Eng quotedbl
Eng quoteleft
Eng quoteright
Eng quotedblleft
Eng quotedblright
Eng quotesinglbase
Eng quotedblbase
Eng guilsinglleft
Eng guillemetleft
Eng guillemetright
Eng asterisk
Eng question
Eng slash
Eng backslash
Eng hyphen.case
Eng endash.case
Eng emdash.case
Eng parenleft.case
Eng parenright.case
Eng bracketleft.case
Eng bracketright.case
Eng braceleft.case
Eng braceright.case
Eng bracketangleleft.case
Eng bracketangleright.case
Eng guilsinglleft.case
Eng guilsinglright.case
Eng guillemetleft.case
Eng guillemetright.case
Eng slash.case
Eng backslash.case
Tbar hyphen
hyphen Tbar
Tbar gnrl:hyphen
gnrl:hyphen Tbar
Tbar uni2010
uni2010 Tbar
Tbar endash
endash Tbar
Tbar emdash
emdash Tbar
Tbar parenleft
parenleft Tbar
Tbar parenright
parenright Tbar
Tbar bracketleft
bracketleft Tbar
Tbar bracketright
bracketright Tbar
Tbar braceleft
braceleft Tbar
Tbar braceright
braceright Tbar
Tbar quotesingle
quotesingle Tbar
Tbar quotedbl
quotedbl Tbar
Tbar quoteleft
quoteleft Tbar
Tbar quoteright
quoteright Tbar
Tbar quotedblleft
quotedblleft Tbar
Tbar quotedblright
quotedblright Tbar
Tbar quotesinglbase
quotesinglbase Tbar
Tbar quotedblbase
quotedblbase Tbar
Tbar guilsinglleft
guilsinglright Tbar
Tbar guillemetleft
guillemetleft Tbar
Tbar guillemetright
guillemetright Tbar
Tbar asterisk
asterisk Tbar
Tbar question
question Tbar
Tbar slash
slash Tbar
Tbar backslash
backslash Tbar
Tbar hyphen.case
hyphen.case Tbar
Tbar endash.case
endash.case Tbar
Tbar emdash.case
emdash.case Tbar
Tbar parenleft.case
parenleft.case Tbar
Tbar parenright.case
parenright.case Tbar
Tbar bracketleft.case
bracketleft.case Tbar
Tbar bracketright.case
bracketright.case Tbar
Tbar braceleft.case
braceleft.case Tbar
Tbar braceright.case
braceright.case Tbar
Tbar bracketangleleft.case
bracketangleleft.case Tbar
Tbar bracketangleright.case
bracketangleright.case Tbar
Tbar guilsinglleft.case
guilsinglleft.case Tbar
Tbar guilsinglright.case
guilsinglright.case Tbar
Tbar guillemetleft.case
guillemetleft.case Tbar
Tbar guillemetright.case
guillemetright.case Tbar
Tbar slash.case
slash.case Tbar
Tbar backslash.case
backslash.case Tbar
Germandbls hyphen
hyphen Germandbls
Germandbls gnrl:hyphen
gnrl:hyphen Germandbls
Germandbls uni2010
uni2010 Germandbls
Germandbls endash
endash Germandbls
Germandbls emdash
emdash Germandbls
Germandbls parenleft
parenleft Germandbls
Germandbls parenright
parenright Germandbls
Germandbls bracketleft
bracketleft Germandbls
Germandbls bracketright
bracketright Germandbls
Germandbls braceleft
braceleft Germandbls
Germandbls braceright
braceright Germandbls
Germandbls quotesingle
quotesingle Germandbls
Germandbls quotedbl
quotedbl Germandbls
Germandbls quoteleft
quoteleft Germandbls
Germandbls quoteright
quoteright Germandbls
Germandbls quotedblleft
quotedblleft Germandbls
Germandbls quotedblright
quotedblright Germandbls
Germandbls quotesinglbase
quotesinglbase Germandbls
Germandbls quotedblbase
quotedblbase Germandbls
Germandbls guilsinglleft
guilsinglright Germandbls
Germandbls guillemetleft
guillemetleft Germandbls
Germandbls guillemetright
guillemetright Germandbls
Germandbls asterisk
asterisk Germandbls
Germandbls question
question Germandbls
Germandbls slash
slash Germandbls
Germandbls backslash
backslash Germandbls
Germandbls hyphen.case
hyphen.case Germandbls
Germandbls endash.case
endash.case Germandbls
Germandbls emdash.case
emdash.case Germandbls
Germandbls parenleft.case
parenleft.case Germandbls
Germandbls parenright.case
parenright.case Germandbls
Germandbls bracketleft.case
bracketleft.case Germandbls
Germandbls bracketright.case
bracketright.case Germandbls
Germandbls braceleft.case
braceleft.case Germandbls
Germandbls braceright.case
braceright.case Germandbls
Germandbls bracketangleleft.case
bracketangleleft.case Germandbls
Germandbls bracketangleright.case
bracketangleright.case Germandbls
Germandbls guilsinglleft.case
guilsinglleft.case Germandbls
Germandbls guilsinglright.case
guilsinglright.case Germandbls
Germandbls guillemetleft.case
guillemetleft.case Germandbls
Germandbls guillemetright.case
guillemetright.case Germandbls
Germandbls slash.case
slash.case Germandbls
Germandbls backslash.case
backslash.case Germandbls
hyphen hyphen
hyphen gnrl:hyphen
gnrl:hyphen hyphen
hyphen uni2010
uni2010 hyphen
hyphen endash
endash hyphen
hyphen emdash
emdash hyphen
hyphen parenleft
parenleft hyphen
hyphen parenright
parenright hyphen
hyphen bracketleft
bracketleft hyphen
hyphen bracketright
bracketright hyphen
hyphen braceleft
braceleft hyphen
hyphen braceright
braceright hyphen
hyphen quotesingle
quotesingle hyphen
hyphen quotedbl
quotedbl hyphen
hyphen quoteleft
