#KPL:P: UC_UC_punc
Y Y
Y Z
Y Oslash
Y asterisk
Y period
Y comma
Y colon
Y semicolon
Y exclam
Y question
Y slash
Y backslash
Z A
Z B
Z C
Z D
Z E
Z F
Z G
Z H
Z I
Z J
Z K
Z L
Z M
Z N
Z O
Z P
Z Q
Z R
Z S
Z T
Z U
Z V
Z W
Z X
Z Y
Z Z
Z Oslash
Z asterisk
Z period
Z comma
Z colon
Z semicolon
Z exclam
Z question
Z slash
Z backslash
Oslash A
Oslash B
Oslash C
Oslash D
Oslash E
Oslash F
Oslash G
Oslash H
Oslash I
Oslash J
Oslash K
Oslash L
Oslash M
Oslash N
Oslash O
Oslash P
Oslash Q
Oslash R
Oslash S
Oslash T
Oslash U
Oslash V
Oslash W
Oslash X
Oslash Y
Oslash Z
Oslash Oslash
Oslash asterisk
Oslash period
Oslash comma
Oslash colon
Oslash semicolon
Oslash exclam
Oslash question
Oslash slash
Oslash backslash
parenleft A
A parenright
parenleft B
B parenright
parenleft C
C parenright
parenleft D
D parenright
parenleft E
E parenright
parenleft F
F parenright
parenleft G
G parenright
parenleft H
H parenright
parenleft I
I parenright
parenleft J
J parenright
parenleft K
K parenright
parenleft L
L parenright
parenleft M
M parenright
parenleft N
N parenright
parenleft O
O parenright
parenleft P
P parenright
parenleft Q
Q parenright
parenleft R
R parenright
parenleft S
S parenright
parenleft T
T parenright
parenleft U
U parenright
parenleft V
V parenright
parenleft W
W parenright
parenleft X
X parenright
parenleft Y
Y parenright
parenleft Z
Z parenright
parenleft Oslash
Oslash parenright
parenleft asterisk
asterisk parenright
parenleft period
period parenright
parenleft comma
comma parenright
parenleft colon
colon parenright
parenleft semicolon
semicolon parenright
parenleft exclam
exclam parenright
parenleft question
question parenright
parenleft slash
slash parenright
parenleft backslash
backslash parenright
bracketleft A
A bracketright
bracketleft B
B bracketright
bracketleft C
C bracketright
bracketleft D
D bracketright
bracketleft E
E bracketright
bracketleft F
F bracketright
bracketleft G
G bracketright
bracketleft H
H bracketright
bracketleft I
I bracketright
bracketleft J
J bracketright
bracketleft K
K bracketright
bracketleft L
L bracketright
bracketleft M
M bracketright
bracketleft N
N bracketright
bracketleft O
O bracketright
bracketleft P
P bracketright
bracketleft Q
Q bracketright
bracketleft R
R bracketright
bracketleft S
S bracketright
bracketleft T
T bracketright
bracketleft U
U bracketright
bracketleft V
V bracketright
bracketleft W
W bracketright
bracketleft X
X bracketright
bracketleft Y
Y bracketright
bracketleft Z
Z bracketright
bracketleft Oslash
Oslash bracketright
bracketleft asterisk
asterisk bracketright
bracketleft period
period bracketright
bracketleft comma
comma bracketright
bracketleft colon
colon bracketright
bracketleft semicolon
semicolon bracketright
bracketleft exclam
exclam bracketright
bracketleft question
question bracketright
bracketleft slash
slash bracketright
bracketleft backslash
backslash bracketright
braceleft A
A braceright
braceleft B
B braceright
braceleft C
C braceright
braceleft D
D braceright
braceleft E
E braceright
braceleft F
F braceright
braceleft G
G braceright
braceleft H
H braceright
braceleft I
I braceright
braceleft J
J braceright
braceleft K
K braceright
braceleft L
L braceright
braceleft M
M braceright
braceleft N
N braceright
braceleft O
O braceright
braceleft P
P braceright
braceleft Q
Q braceright
braceleft R
R braceright
braceleft S
S braceright
braceleft T
T braceright
braceleft U
U braceright
braceleft V
V braceright
braceleft W
W braceright
braceleft X
X braceright
braceleft Y
Y braceright
braceleft Z
Z braceright
braceleft Oslash
Oslash braceright
braceleft asterisk
asterisk braceright
braceleft period
period braceright
braceleft comma
comma braceright
braceleft colon
colon braceright
braceleft semicolon
semicolon braceright
braceleft exclam
exclam braceright
braceleft question
question braceright
braceleft slash
slash braceright
braceleft backslash
backslash braceright
quotesingle A
quotesingle B
quotesingle C
quotesingle D
quotesingle E
quotesingle F
quotesingle G
quotesingle H
quotesingle I
quotesingle J
quotesingle K
quotesingle L
quotesingle M
quotesingle N
quotesingle O
quotesingle P
quotesingle Q
quotesingle R
quotesingle S
quotesingle T
quotesingle U
quotesingle V
quotesingle W
quotesingle X
quotesingle Y
quotesingle Z
quotesingle Oslash
quotesingle asterisk
quotesingle period
quotesingle comma
quotesingle colon
quotesingle semicolon
quotesingle exclam
quotesingle question
quotesingle slash
quotesingle backslash
quotedbl A
quotedbl B
quotedbl C
quotedbl D
quotedbl E
quotedbl F
quotedbl G
quotedbl H
quotedbl I
quotedbl J
quotedbl K
quotedbl L
quotedbl M
quotedbl N
quotedbl O
quotedbl P
quotedbl Q
quotedbl R
quotedbl S
quotedbl T
quotedbl U
quotedbl V
quotedbl W
quotedbl X
quotedbl Y
quotedbl Z
quotedbl Oslash
quotedbl asterisk
quotedbl period
quotedbl comma
quotedbl colon
quotedbl semicolon
quotedbl exclam
quotedbl question
quotedbl slash
quotedbl backslash
quoteleft A
A quoteright
quoteleft B
B quoteright
quoteleft C
C quoteright
quoteleft D
D quoteright
quoteleft E
E quoteright
quoteleft F
F quoteright
quoteleft G
G quoteright
quoteleft H
H quoteright
quoteleft I
I quoteright
quoteleft J
J quoteright
quoteleft K
K quoteright
quoteleft L
L quoteright
quoteleft M
M quoteright
quoteleft N
N quoteright
quoteleft O
O quoteright
quoteleft P
P quoteright
quoteleft Q
Q quoteright
quoteleft R
R quoteright
quoteleft S
S quoteright
quoteleft T
T quoteright
quoteleft U
U quoteright
quoteleft V
V quoteright
quoteleft W
W quoteright
quoteleft X
X quoteright
quoteleft Y
Y quoteright
quoteleft Z
Z quoteright
quoteleft Oslash
Oslash quoteright
quoteleft asterisk
asterisk quoteright
quoteleft period
period quoteright
quoteleft comma
comma quoteright
quoteleft colon
colon quoteright
quoteleft semicolon
semicolon quoteright
quoteleft exclam
exclam quoteright
quoteleft question
question quoteright
quoteleft slash
slash quoteright
quoteleft backslash
backslash quoteright
quotedblleft A
A quotedblright
quotedblleft B
B quotedblright
quotedblleft C
C quotedblright
quotedblleft D
D quotedblright
quotedblleft E
E quotedblright
quotedblleft F
F quotedblright
quotedblleft G
G quotedblright
quotedblleft H
H quotedblright
quotedblleft I
I quotedblright
quotedblleft J
J quotedblright
quotedblleft K
K quotedblright
quotedblleft L
L quotedblright
quotedblleft M
M quotedblright
quotedblleft N
N quotedblright
quotedblleft O
O quotedblright
quotedblleft P
P quotedblright
quotedblleft Q
Q quotedblright
quotedblleft R
R quotedblright
quotedblleft S
S quotedblright
quotedblleft T
T quotedblright
quotedblleft U
U quotedblright
quotedblleft V
V quotedblright
quotedblleft W
W quotedblright
quotedblleft X
X quotedblright
quotedblleft Y
Y quotedblright
quotedblleft Z
Z quotedblright
quotedblleft Oslash
Oslash quotedblright
quotedblleft asterisk
asterisk quotedblright
quotedblleft period
period quotedblright
quotedblleft comma
comma quotedblright
quotedblleft colon
colon quotedblright
quotedblleft semicolon
semicolon quotedblright
quotedblleft exclam
exclam quotedblright
quotedblleft question
question quotedblright
quotedblleft slash
slash quotedblright
quotedblleft backslash
backslash quotedblright
quotesinglbase A
quotesinglbase B
quotesinglbase C
quotesinglbase D
quotesinglbase E
quotesinglbase F
quotesinglbase G
quotesinglbase H
quotesinglbase I
quotesinglbase J
quotesinglbase K
quotesinglbase L
quotesinglbase M
quotesinglbase N
quotesinglbase O
quotesinglbase P
quotesinglbase Q
quotesinglbase R
quotesinglbase S
quotesinglbase T
quotesinglbase U
quotesinglbase V
quotesinglbase W
quotesinglbase X
quotesinglbase Y
quotesinglbase Z
quotesinglbase Oslash
quotesinglbase asterisk
quotesinglbase period
quotesinglbase comma
quotesinglbase colon
quotesinglbase semicolon
quotesinglbase exclam
quotesinglbase question
quotesinglbase slash
quotesinglbase backslash
quotedblbase A
quotedblbase B
quotedblbase C
quotedblbase D
quotedblbase E
quotedblbase F
quotedblbase G
quotedblbase H
quotedblbase I
quotedblbase J
quotedblbase K
quotedblbase L
quotedblbase M
quotedblbase N
quotedblbase O
quotedblbase P
quotedblbase Q
quotedblbase R
quotedblbase S
quotedblbase T
quotedblbase U
quotedblbase V
quotedblbase W
quotedblbase X
quotedblbase Y
quotedblbase Z
quotedblbase Oslash
quotedblbase asterisk
quotedblbase period
quotedblbase comma
quotedblbase colon
quotedblbase semicolon
quotedblbase exclam
quotedblbase question
quotedblbase slash
quotedblbase backslash
guilsinglleft A
A guilsinglright
guilsinglleft B
B guilsinglright
guilsinglleft C
C guilsinglright
guilsinglleft D
D guilsinglright
guilsinglleft E
E guilsinglright
guilsinglleft F
F guilsinglright
guilsinglleft G
G guilsinglright
guilsinglleft H
H guilsinglright
guilsinglleft I
I guilsinglright
guilsinglleft J
J guilsinglright
guilsinglleft K
K guilsinglright
